Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
UA770 .S6,UA770.S6,Soviet military power,United States. Department of Defense,1012292-10001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1981,1/24/1997,Never,0,,
UA23 .M644 1996,UA23.M6441996,America's armed forces : a history / James M. Morris,"Morris, James M., 1935-",31275028243682,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/19/1996,10/25/2005,17,,
UA23 .J5697 2004,UA23.J56972004,"The sorrows of empire : militarism, secrecy, and the end of the Republic / Chalmers Johnson","Johnson, Chalmers, 1931-2010",31275038934734,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,9/2/2004,8/31/2010,15,,
UA23 .E398 2001,UA23.E3982001,"Putting ""defense"" back into U.S. defense policy : rethinking U.S. security in the post-cold war world / Ivan Eland","Eland, Ivan",31275036673144,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,5/8/2002,10/26/2010,2,,
UA23 .B14 2005,UA23.B142005,The new American militarism : how Americans are seduced by war / Andrew J. Bacevich,"Bacevich, Andrew J",31275039995791,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,10/26/2010,6,,
UA23 .A663527 2000,UA23.A6635272000,America's strategic choices / edited by Michael E. Brown ... [et al.],"Brown, Michael E",31275034742990,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,8/31/2000,5/5/2010,30,,
U815 .O27 2002x,U815.O272002x,Soul of the sword : an illustrated history of weaponry and warfare from prehistory to the present / Robert L. O'Connell ; illustrations by John Batchelor,"O'Connell, Robert L",31275036782911,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,10/11/2002,1/19/2008,2,,
U766 .Z45 2010,U766.Z452010,Entangling alliances : foreign war brides and American soldiers in the twentieth century / Susan Zeiger,"Zeiger, Susan, 1959-",31275048689625,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,4/30/2010,9/16/2010,2,,
U33 .S52 2004,U33.S522004,Ancient warfare / Harry Sidebottom,"Sidebottom, Harry",31275055952494,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,5/5/2014,Never,0,,
U27 .D34213 1990 V.4,U27.D342131990V.4,"History of the art of war / by Hans Delbrück ; translated from the German by Walter J. Renfroe, Jr","Delbrück, Hans, 1848-1929",31275026292806,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,12/16/1996,8/18/2010,24,,
U27 .D34213 1990 V.3,U27.D342131990V.3,"History of the art of war / by Hans Delbrück ; translated from the German by Walter J. Renfroe, Jr","Delbrück, Hans, 1848-1929",31275026493867,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,12/16/1996,8/5/2010,27,,
U27 .D34213 1990 V.2,U27.D342131990V.2,"History of the art of war / by Hans Delbrück ; translated from the German by Walter J. Renfroe, Jr","Delbrück, Hans, 1848-1929",31275026292756,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,12/16/1996,12/11/2003,26,,
U27 .D34213 1990 V.1,U27.D342131990V.1,"History of the art of war / by Hans Delbrück ; translated from the German by Walter J. Renfroe, Jr","Delbrück, Hans, 1848-1929",31275026292723,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,12/16/1996,1/16/2008,29,,
U264 .S59 1993,U264.S591993,National security and the nuclear dilemma : an introduction to the American experience in the Cold War / Richard Smoke ; with the participation of Eric Mlyn,"Smoke, Richard",31275027123299,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/25/1996,2/19/2010,88,,
U264 .R49 2010,U264.R492010,"The twilight of the bombs : recent challenges, new dangers, and the prospects for a world without nuclear weapons / Richard Rhodes","Rhodes, Richard",31275050219105,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,10/11/2010,Never,0,,
U264.B884 2001,U264.B8842001,Fatal choice : nuclear weapons and the illusion of missile defense / Richard Butler,"Butler, Richard, 1942-",31275035713461,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,1/29/2002,3/26/2002,1,,
U22 .S345 2004,U22.S3452004,"A hole in the world : an unfolding story of war, protest and the new American order / Jonathan Schell","Schell, Jonathan, 1943-2014",31275039133625,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,6/16/2004,3/14/2011,1,,
U22 .F73 2004,U22.F732004,Living by the sword? : the ethics of armed intervention / Tom Frame,"Frame, T. R. (Thomas R.), 1962-",31275040014038,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,4/19/2005,1/14/2011,1,,
U21.5 .E45 1987,U21.5.E451987,Women and war / Jean Bethke Elshtain,"Elshtain, Jean Bethke, 1941-2013",31275018336017,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,5/10/2010,51,,
